Year,Congress,Session,Roll Call Number,Date,Time,Bill Number,Vote Question,Vote Type,Result,Description,Boebert (B000825),Crow (C001121),Crank (C001137),DeGette (D000197),Evans (CO) (E000300),Hurd (CO) (H001100),Neguse (N000191),Pettersen (P000620)
2025,119,1st,1,3-Jan-2025,12:33 PM,QUORUM,Call by States,QUORUM,Passed,,Present,Present,Present,Present,Present,Present,Present,Present
2025,119,1st,2,3-Jan-2025,2:33 PM,,Election of the Speaker,YEA-AND-NAY,Johnson (LA),,Johnson (LA),Jeffries,Johnson (LA),Jeffries,Johnson (LA),Johnson (LA),Jeffries,Jeffries
2025,119,1st,3,3-Jan-2025,5:54 PM,H RES 5,On Ordering the Previous Question,YEA-AND-NAY,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Nineteenth Congress, and for other purposes",Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay
2025,119,1st,4,3-Jan-2025,6:01 PM,H RES 5,On Motion to Commit with Instructions,YEA-AND-NAY,Failed,"Adopting the Rules of the House of Representatives for the One Hundred Nineteenth Congress, and for other purposes",Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea
2025,119,1st,5,3-Jan-2025,6:08 PM,H RES 5,On Agreeing to the Resolution,YEA-AND-NAY,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Nineteenth Congress, and for other purposes",Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay
2025,119,1st,6,7-Jan-2025,1:27 PM,H R 29,On Passage,YEA-AND-NAY,Passed,Laken Riley Act,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay
2025,119,1st,7,9-Jan-2025,1:37 PM,H R 23,On Passage,YEA-AND-NAY,Passed,Illegitimate Court Counteraction Act,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay
2025,119,1st,8,13-Jan-2025,6:53 PM,H R 192,On Motion to Suspend the Rules and Pass,2/3 YEA-AND-NAY,Passed,Amtrak Executive Bonus Disclosure Act,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting
2025,119,1st,9,13-Jan-2025,7:00 PM,H R 152,On Motion to Suspend the Rules and Pass,2/3 YEA-AND-NAY,Passed,Federal Disaster Assistance Coordination Act,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting
2025,119,1st,10,14-Jan-2025,2:28 PM,H R 153,On Motion to Suspend the Rules and Pass,2/3 YEA-AND-NAY,Passed,Post-Disaster Assistance Online Accountability Act,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting
