Date,Roll Call Number,Bill Number,Bill Title,E000300,Status
4/28/2025,104,S. 146,TAKE IT DOWN Act,Yea,Passed
4/28/2025,103,H. R. 973,Setting Consumer Standards for Lithium-Ion Batteries Act,Yea,Passed
4/10/2025,102,H. R. 22,SAVE Act,Yea,Passed
4/10/2025,101,H. R. 22,SAVE Act,Nay,Failed
4/10/2025,100,H. Con. Res. 14,Establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034,Yea,Passed
4/9/2025,99,H. R. 1228,Prioritizing Veterans’ Survivors Act,Yea,Passed
4/9/2025,98,H. R. 1526,No Rogue Rulings Act,Yea,Passed
4/9/2025,97,H. R. 1526,No Rogue Rulings Act,Nay,Failed
4/9/2025,96,S. J. Res. 18,Disapproving the rule submitted by the Bureau of Consumer Financial Protection relating to “Overdraft Lending: Very Large Financial Institutions”,Yea,Passed
4/9/2025,95,S. J. Res. 28,Disappoving the rule submitted by the Bureau of Consumer Financial Protection relating to “Defining Larger Participants of a Market for General-Use Digital Consumer Payment Applications”,Yea,Passed
4/9/2025,94,H. Res. 313,"Providing for consideration of the Senate amendment to the concurrent resolution (H. Con. Res. 14) establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034, and for other purposes",Aye,Passed
4/9/2025,93,H. Res. 313,"Providing for consideration of the Senate amendment to the concurrent resolution (H. Con. Res. 14) establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034, and for other purposes",Yea,Passed
4/8/2025,92,H. Res. 294,Providing for consideration of the joint resolutions S.J. Res. 18 and S.J. Res. 28; providing for consideration of the bills H.R. 1526 and H.R. 22; and for other purposes,Aye,Passed
4/8/2025,91,H. Res. 294,Providing for consideration of the joint resolutions S.J. Res. 18 and S.J. Res. 28; providing for consideration of the bills H.R. 1526 and H.R. 22; and for other purposes,Yea,Passed
4/7/2025,90,H. R. 1039,Clear Communication for Veterans Claims Act,Yea,Passed
4/7/2025,89,H. R. 586,Vietnam Veterans Liver Fluke Cancer Study Act,Yea,Passed
4/1/2025,88,H. R. 1491,Disaster Related Extension of Deadlines Act,Yea,Passed
4/1/2025,87,H. Res. 282,Providng for consideration of the joint resolutions S.J.Res. 18 and S.J.Res 28; providing for consideration of the bills H.R. 1526 and H.R. 22; and for other purposes,Aye,Failed
4/1/2025,86,H. Res. 282,Providng for consideration of the joint resolutions S.J.Res. 18 and S.J.Res 28; providing for consideration of the bills H.R. 1526 and H.R. 22; and for other purposes,Yea,Passed
3/31/2025,85,H. R. 997,National Taxpayer Advocate Enhancement Act,Yea,Passed
3/31/2025,84,H. R. 517,Filing Relief for Natural Disasters Act,Yea,Passed
3/27/2025,83,H. R. 1048,DETERRENT Act,Yea,Passed
3/27/2025,82,H. R. 1048,Tlaib of Michigan Amendment No. 6,No,Failed
3/27/2025,81,H. R. 1048,Tlaib of Michigan Amendment No. 5,No,Failed
3/27/2025,80,H. R. 1048,Self of Texas Amendment No. 4,No,Failed
3/27/2025,79,H. R. 1048,Scott of Virginia Amendment No. 3,No,Failed
